Titulo,Artista,Year,Genero,Estado,pais,stilo
Scorp - Maluma / Malhela,Scorp,2004,['Electronic'],Accepted,Belgium,['Techno']
"Maluma - Pretty Boy, Dirty Boy",Maluma,2022,"['Hip Hop', 'Latin']",Accepted,US,"['Reggaeton', 'Mambo']"
Maluma - F.A.M.E.,Maluma,2022,"['Electronic', 'Hip Hop', 'Latin', 'Pop']",Accepted,US,"['Reggaeton', 'Tropical House']"
Maluma - Papi Juancho,Maluma,2022,['Latin'],Accepted,US,['Reggaeton']
Maluma - 11:11,Maluma,2022,['Latin'],Accepted,US,['Reggaeton']
Larry Maluma & Kalimba (8) - One Mans Poison,Larry Maluma,1990,"['Reggae', 'Funk / Soul', 'Folk, World, & Country']",Accepted,Australia,['African']
Jennifer Lopez & Maluma - Pa' Ti / Lonely,Jennifer Lopez,2020,"['Latin', 'Pop']",Accepted,US,
Larry Maluma - Staying In The World / Walking In The City,Larry Maluma,2021,"['Reggae', 'Folk, World, & Country']",Accepted,Europe,"['African', 'Roots Reggae']"
Maluma - #7DJ (7 Días En Jamaica),Maluma,2022,['Latin'],Accepted,US,['Reggaeton']
Maluma - 11:11,Maluma,2022,['Latin'],Accepted,Germany,['Reggaeton']
Jennifer Lopez & Maluma - Pa' Ti / Lonely,Jennifer Lopez,2020,"['Latin', 'Pop']",Accepted,US,
Maluma - Magia,Maluma,2022,['Latin'],Accepted,US,['Reggaeton']
Maluma - Rumba (Puro Oro Anthem)  ,Maluma,2021,['Latin'],Accepted,US,
Jennifer Lopez & Maluma - Pa' Ti / Lonely,Jennifer Lopez,2020,"['Latin', 'Pop']",Accepted,US,
Madonna Feat Maluma - Medellin Part 1,Madonna,2021,['Electronic'],Accepted,Germany,['Dance-pop']
Maluma - The Love & Sex Tape,Maluma,2022,"['Hip Hop', 'Latin', 'Pop']",Accepted,US,['Reggaeton']
Madonna Feat Maluma - Medellin Part 3,Madonna,2021,['Pop'],Accepted,Germany,['Europop']
Madonna Feat Maluma - Medellin Part 2,Madonna,2021,['Pop'],Accepted,Germany,
Larry Maluma & Kalimba (8) - Confusion,Larry Maluma,1987,"['Reggae', 'Funk / Soul', 'Folk, World, & Country']",Accepted,Australia,['African']
"Maluma - Pretty Boy, Dirty Boy",Maluma,2022,"['Hip Hop', 'Latin']",Accepted,Europe,"['Reggaeton', 'Mambo']"
Larry Maluma - Black Or White / Chimutima Chako,Larry Maluma,1986,"['Reggae', 'Folk, World, & Country']",Accepted,Australia,['African']
Maluma - F.A.M.E.,Maluma,2022,"['Electronic', 'Hip Hop', 'Latin', 'Pop']",Accepted,Europe,"['Reggaeton', 'Tropical House']"
Jennifer Lopez & Maluma - Pa' Ti / Lonely,Jennifer Lopez,2021,"['Latin', 'Pop']",Accepted,US,
Václav Kučera And His Ensemble* - Trepa Na Coguiero ● Asunción ● Tu Solo Tu ● Malumalu Kutjing,Kučerovci,0,"['Latin', 'Folk, World, & Country']",Accepted,Czechoslovakia,['Folk']
Maluma - Papi Juancho,Maluma,2022,['Latin'],Accepted,Europe,['Reggaeton']
Maluma - #7DJ (7 Días En Jamaica),Maluma,2022,['Latin'],Accepted,Europe,['Reggaeton']
Larry Maluma With Lion Youth - Iwe Ganiza / Stay In The World,Larry Maluma,1985,['Reggae'],Accepted,Zambia,"['Reggae', 'Roots Reggae']"
Larry Maluma - Chakolwa,Larry Maluma,1984,"['Reggae', 'Folk, World, & Country']",Accepted,Zambia,['African']
Skupina Václava Kučery* - Trepa Na Coguiero / Asunción / Tu Solo Tu / Malumalu Kutjing,Kučerovci,0,"['Latin', 'Folk, World, & Country']",Accepted,Czechoslovakia,['Folk']
Trio Maluma - Again,Trio Maluma,2004,['Electronic'],Accepted,Italy,['House']
Maluma - Magia,Maluma,2022,['Latin'],Accepted,Europe,['Reggaeton']
Heavy V - Sangoma,Heavy V,1993,"['Electronic', 'Folk, World, & Country']",Accepted,South Africa,"['African', 'Disco']"
Madonna - Madame X,Madonna,2019,"['Electronic', 'Reggae', 'Latin', 'Pop', 'Folk, World, & Country']",Accepted,Europe,"['Batucada', 'Downtempo', 'House', 'Latin', 'Dance-pop', 'Ballad', 'Trap', 'Fado', 'Dancehall']"
Madonna - Madame X,Madonna,2019,"['Electronic', 'Reggae', 'Latin', 'Pop', 'Folk, World, & Country']",Accepted,US,"['Reggaeton', 'Ballad', 'Batucada', 'Fado', 'Dance-pop', 'Trap', 'House', 'Reggae-Pop', 'Dancehall']"
Madonna - Madame X,Madonna,2019,"['Electronic', 'Reggae', 'Latin', 'Pop', 'Folk, World, & Country']",Accepted,USA & Canada,"['Reggaeton', 'Ballad', 'Batucada', 'Fado', 'Dance-pop', 'Trap', 'House', 'Reggae-Pop', 'Dancehall']"
Madonna - Madame X,Madonna,2019,"['Electronic', 'Hip Hop', 'Reggae', 'Latin', 'Pop', 'Folk, World, & Country']",Accepted,Europe,"['Dance-pop', 'Downtempo', 'Ballad', 'Reggaeton', 'Dancehall', 'Fado', 'Trap', 'House']"
Madonna - Madame X,Madonna,2019,"['Electronic', 'Hip Hop', 'Reggae', 'Latin', 'Pop', 'Folk, World, & Country']",Accepted,Europe,"['Dance-pop', 'Downtempo', 'Ballad', 'Reggaeton', 'Dancehall', 'Fado', 'Trap', 'House']"
Xxxtentacion - Skins,Xxxtentacion,2018,"['Hip Hop', 'Rock', 'Latin']",Accepted,Sweden,"['Alternative Rock', 'Nu Metal', 'Emo', 'Pop Rap']"
Madonna - Madame X,Madonna,2019,"['Electronic', 'Hip Hop', 'Reggae', 'Latin', 'Pop', 'Folk, World, & Country']",Accepted,Taiwan,"['Bachata', 'Downtempo', 'House', 'Latin', 'Dance-pop', 'Ballad', 'Trap', 'Fado', 'Dancehall', 'Disco']"
Various - Encanto,Various,2022,"['Pop', 'Stage & Screen']",Accepted,US,['Soundtrack']
Various - Encanto,Various,2022,"['Pop', 'Folk, World, & Country', 'Stage & Screen']",Accepted,US,['Soundtrack']
Various - Crown Ruler Sound,Various,2017,"['Jazz', 'Reggae', 'Latin', 'Funk / Soul', 'Folk, World, & Country']",Accepted,UK,"['Soul', 'Jazz-Funk', 'Disco', 'Boogie', 'African']"
Maitre Gims - Ceinture Noire [Décennie],Maitre Gims,2019,['Hip Hop'],Accepted,France,
Black Eyed Peas - Translation,Black Eyed Peas,2020,"['Hip Hop', 'Latin', 'Pop']",Accepted,Europe,"['Trap', 'Reggaeton']"
Madonna - Finally Enough Love,Madonna,2022,"['Electronic', 'Rock', 'Funk / Soul', 'Pop']",Accepted,Worldwide,"['Dance-pop', 'Synth-pop', 'New Jack Swing', 'Ballroom', 'House', 'Electro House', 'Tech House']"
Madonna - Madame X,Madonna,2019,"['Electronic', 'Hip Hop', 'Reggae', 'Latin', 'Pop', 'Folk, World, & Country']",Accepted,Taiwan,"['Dance-pop', 'Downtempo', 'Ballad', 'Reggaeton', 'Dancehall', 'Fado', 'Trap', 'House']"
Various - Encanto,Various,2022,"['Latin', 'Pop', ""Children's"", 'Stage & Screen']",Accepted,US,
Various - Encanto,Various,2022,"['Pop', 'Folk, World, & Country', 'Stage & Screen']",Accepted,USA & Canada,['Soundtrack']
Madonna - Madame X,Madonna,2019,"['Electronic', 'Reggae', 'Latin', 'Pop', 'Folk, World, & Country']",Accepted,Europe,"['Reggaeton', 'Ballad', 'Batucada', 'Fado', 'Dance-pop', 'Trap', 'House', 'Reggae-Pop', 'Dancehall']"
Madonna - Madame X,Madonna,2019,"['Electronic', 'Hip Hop', 'Reggae', 'Latin', 'Pop', 'Folk, World, & Country']",Accepted,USA & Canada,"['Ballad', 'Dance-pop', 'Dancehall', 'Downtempo', 'Fado', 'House', 'Reggaeton', 'Trap']"
Madonna - Madame X,Madonna,2020,"['Electronic', 'Hip Hop', 'Reggae', 'Latin', 'Pop', 'Folk, World, & Country']",Accepted,Ukraine,"['Dance-pop', 'Downtempo', 'Ballad', 'Reggaeton', 'Dancehall', 'Fado', 'Trap', 'House']"
Various - Encanto,Various,2022,"['Pop', 'Stage & Screen']",Accepted,Europe,['Soundtrack']
"Agata Leanza, Maria Bonfanti - Il Bottone Della Pace / La Vita E' Bella",Agata Leanza,1985,"['Electronic', ""Children's""]",Accepted,Italy,['Italo-Disco']
Various - Amamos El Verano,Various,2016,"['Latin', 'Pop']",Accepted,Argentina,
Madonna - Madame X,Madonna,2019,"['Electronic', 'Hip Hop', 'Reggae', 'Latin', 'Pop', 'Folk, World, & Country']",Accepted,"USA, Canada & Europe","['Dance-pop', 'Ballad', 'Downtempo', 'Dancehall', 'Trap', 'Fado']"
Madonna - Madame X,Madonna,2019,"['Electronic', 'Hip Hop', 'Reggae', 'Latin', 'Pop', 'Folk, World, & Country']",Accepted,"USA, Canada & Europe","['Dance-pop', 'Ballad', 'Downtempo', 'Dancehall', 'Trap', 'Fado']"
Marc Anthony - Opus,Marc Anthony,2019,['Latin'],Accepted,US,['Salsa']
Madonna - Finally Enough Love,Madonna,2022,"['Electronic', 'Rock', 'Funk / Soul', 'Pop']",Accepted,Taiwan,"['Dance-pop', 'Synth-pop', 'New Jack Swing', 'Ballroom', 'House', 'Electro House', 'Tech House']"
Manuel Turizo - Dopamina,Manuel Turizo,2021,['Latin'],Accepted,France,['Reggaeton']
Prince Royce - Alter Ego,Prince Royce,2022,['Latin'],Accepted,US,"['Bachata', 'Reggaeton', 'Salsa']"
De La Ghetto - Mi Movimiento,De La Ghetto,2018,"['Hip Hop', 'Latin']",Accepted,US,"['Reggaeton', 'Trap']"
Madonna - Madame X,Madonna,2020,"['Electronic', 'Reggae', 'Latin', 'Pop', 'Folk, World, & Country']",Accepted,Ukraine,"['Reggaeton', 'Ballad', 'Batucada', 'Fado', 'Dance-pop', 'Trap', 'House', 'Reggae-Pop', 'Dancehall']"
Various - Encanto,Various,2022,"['Pop', 'Folk, World, & Country', 'Stage & Screen']",Accepted,Europe,['Soundtrack']
Lulu - Boy,Lulu,1968,['Pop'],Accepted,US,['Vocal']
Lulu - Heaven And Earth And The Stars,Lulu,1976,['Rock'],Accepted,US,['Pop Rock']
Madonna - Finally Enough Love,Madonna,2022,"['Electronic', 'Pop']",Accepted,Worldwide,"['Dance-pop', 'Progressive House', 'Tribal House', 'Electro House', 'House', 'Tech House', 'Synth-pop']"
Madonna - Finally Enough Love,Madonna,2022,"['Electronic', 'Rock', 'Funk / Soul', 'Pop']",Accepted,Worldwide,"['Dance-pop', 'Synth-pop', 'New Jack Swing', 'Ballroom', 'House', 'Progressive House', 'Tribal House', 'Electro House', 'Tech House']"
Madonna - Finally Enough Love,Madonna,2022,"['Electronic', 'Rock', 'Funk / Soul', 'Pop']",Accepted,Worldwide,"['Dance-pop', 'Synth-pop', 'New Jack Swing', 'Ballroom', 'House', 'Progressive House', 'Tribal House', 'Electro House', 'Tech House']"
Madonna - Finally Enough Love (50 Number Ones),Madonna,2022,"['Electronic', 'Rock', 'Funk / Soul', 'Pop']",Accepted,Worldwide,"['Dance-pop', 'Synth-pop', 'New Jack Swing', 'Ballroom', 'House', 'Progressive House', 'Tribal House', 'Electro House', 'Tech House', 'Garage House', 'Euro House', 'Trance', 'Trip Hop']"
Madonna - Finally Enough Love,Madonna,2022,"['Electronic', 'Pop']",Accepted,US,"['House', 'Dance-pop', 'Progressive House', 'Tribal House']"
Various - Encanto,Various,2022,"['Pop', 'Folk, World, & Country', 'Stage & Screen']",Accepted,US,['Soundtrack']
Various - The Very Best Of Latin Flavour Club,Various,2018,"['Electronic', 'Hip Hop', 'Latin', 'Pop']",Accepted,Europe,"['Ethno-pop', 'Europop', 'Reggaeton', 'RnB/Swing', 'Dance-pop']"
Various - Encanto,Various,2022,"['Pop', 'Folk, World, & Country', 'Stage & Screen']",Accepted,Europe,['Soundtrack']
Lulu - Heaven And Earth And The Stars,Lulu,1976,['Rock'],Accepted,US,['Pop Rock']
